Date,Open,High,Low,Close,Adj Close,Volume
2018-07-03,187.79,187.95,183.54,183.92,180.48,13954800
2018-07-05,185.26,186.41,184.28,185.4,181.93,16604200
2018-07-06,185.42,188.43,185.2,187.97,184.45,17485200
2018-07-09,189.5,190.68,189.3,190.58,187.01,19756600
2018-07-10,190.71,191.28,190.18,190.35,186.79,15939100
2018-07-11,188.5,189.78,187.61,187.88,184.36,18831500
2018-07-12,189.53,191.41,189.31,191.03,187.45,18041100
2018-07-13,191.08,191.84,190.9,191.33,187.75,12513900
2018-07-16,191.52,192.65,190.42,190.91,187.34,15043100
2018-07-17,189.75,191.87,189.2,191.45,187.87,15534500
2018-07-18,191.78,191.8,189.93,190.4,186.84,16393400
2018-07-19,189.69,192.55,189.69,191.88,188.29,20286800
2018-07-20,191.78,192.43,190.17,191.44,187.86,20676200
2018-07-23,190.68,191.96,189.56,191.61,188.02,15989400
2018-07-24,192.45,193.66,192.05,193.0,189.39,18697900
2018-07-25,193.06,194.85,192.43,194.82,191.17,16709900
2018-07-26,194.61,195.96,193.61,194.21,190.57,19076000
2018-07-27,194.99,195.19,190.1,190.98,187.4,24024000
2018-07-30,191.9,192.2,189.07,189.91,186.35,21029500
2018-07-31,190.3,192.14,189.34,190.29,186.73,39373000
2018-08-01,199.13,201.76,197.31,201.5,197.73,67935700
2018-08-02,200.58,208.38,200.35,207.39,203.51,62404000
2018-08-03,207.03,208.74,205.48,207.99,204.1,33447400
2018-08-06,208.0,209.25,207.07,209.07,205.16,25425400
2018-08-07,209.32,209.5,206.76,207.11,203.23,25587400
2018-08-08,206.05,207.81,204.52,207.25,203.37,22525500
2018-08-09,209.53,209.78,207.2,208.88,204.97,23492600
2018-08-10,207.36,209.1,206.67,207.53,204.36,24611200
2018-08-13,209.31,210.95,207.7,208.87,205.68,25890900
2018-08-14,210.16,210.56,208.26,209.75,206.54,20748000
2018-08-15,209.22,210.74,208.33,210.24,207.03,28807600
2018-08-16,211.75,213.81,211.47,213.32,210.06,28500400
2018-08-17,213.44,217.95,213.16,217.58,214.26,35427000
2018-08-20,218.1,219.18,215.11,215.46,212.17,30287700
2018-08-21,216.8,217.19,214.03,215.04,211.75,26159800
2018-08-22,214.1,216.36,213.84,215.05,211.76,19018100
2018-08-23,214.65,217.05,214.6,215.49,212.2,18883200
2018-08-24,216.6,216.9,215.11,216.16,212.86,18476400
2018-08-27,217.15,218.74,216.33,217.94,214.61,20525100
2018-08-28,219.01,220.54,218.92,219.7,216.34,22776800
2018-08-29,220.15,223.49,219.41,222.98,219.57,27254800
2018-08-30,223.25,228.26,222.4,225.03,221.59,48793800
2018-08-31,226.51,228.87,226.0,227.63,224.15,43340100
2018-09-04,228.41,229.18,226.63,228.36,224.87,27390100
2018-09-05,228.99,229.67,225.1,226.87,223.4,33333000
2018-09-06,226.23,227.35,221.3,223.1,219.69,34290000
2018-09-07,221.85,225.37,220.71,221.3,217.92,37619800
2018-09-10,220.95,221.85,216.47,218.33,214.99,39516500
2018-09-11,218.01,224.3,216.56,223.85,220.43,35749000
2018-09-12,224.94,225.0,219.84,221.07,217.69,49278700
2018-09-13,223.52,228.35,222.57,226.41,222.95,41706400
2018-09-14,225.75,226.84,222.52,223.84,220.42,31999300
2018-09-17,222.15,222.95,217.27,217.88,214.55,37195100
2018-09-18,217.79,221.85,217.12,218.24,214.91,31571700
2018-09-19,218.5,219.62,215.3,218.37,215.03,27123800
2018-09-20,220.24,222.28,219.15,220.03,216.67,26608800
2018-09-21,220.78,221.36,217.29,217.66,214.33,96246700
2018-09-24,216.82,221.26,216.63,220.79,217.42,27693400
2018-09-25,219.75,222.82,219.7,222.19,218.79,24554400
2018-09-26,221.0,223.75,219.76,220.42,217.05,23984700
2018-09-27,223.82,226.44,223.54,224.95,221.51,30181200
2018-09-28,224.79,225.84,224.02,225.74,222.29,22929400
2018-10-01,227.95,229.42,226.35,227.26,223.79,23600800
2018-10-02,227.25,230.0,226.63,229.28,225.78,24788200
2018-10-03,230.05,233.47,229.78,232.07,228.52,28654800
2018-10-04,230.78,232.35,226.73,227.99,224.51,32042000
2018-10-05,227.96,228.41,220.58,224.29,220.86,33580500
2018-10-08,222.21,224.8,220.2,223.77,220.35,29663900
2018-10-09,223.64,227.27,222.25,226.87,223.4,26891000
2018-10-10,225.46,226.35,216.05,216.36,213.05,41990600
2018-10-11,214.52,219.5,212.32,214.45,211.17,53124400
2018-10-12,220.42,222.88,216.84,222.11,218.72,40337900
2018-10-15,221.16,221.83,217.27,217.36,214.04,30791000
2018-10-16,218.93,222.99,216.76,222.15,218.76,29184000
